id,recommended_group_id,language_code,title,description,video_url,audio_url
4dc2be64-09b8-434c-9d9c-53a58dcaf507,6f7689f5-26cc-424e-bf16-a20d7063bac6,zh_TW,宗教之旅,無論您是不是佛教徒，在此都可以感受到佛陀的祝福。佛陀紀念館整座建築群，都蘊含著佛法的精髓，潛移默化著來者的心舍，以期豐富的典藏及非物質美學，讓人一踏入此地，就有火宅清涼的感受。世界級瑰寶「佛陀真身舍利」、亞洲最大銅鑄坐佛的佛光大佛、仿陝西法門寺的地宮、泰國僧王餽贈的金佛、緬甸白玉臥佛、來自韓國的金剛經塔、千手千眼觀音……，這些瑰寶都是世界級的典藏，來到佛陀紀念館，就像得到萬佛的護持。至於非物質的宗教體驗，像是站在成佛大道上，體驗猶如穿越時空回到盛唐，八座寶塔一路通往佛光大佛和博物館本館，氣勢雄渾令人心生恭敬，這種宗教的攝受感，超越了一般博物館給人的感受。,,
d95dcea5-4a25-4b37-aba1-3e9241ee2ab9,b7d42a19-5781-4878-aa34-46333a3480f4,zh_TW,浪漫之旅,只要是與佛有關的地方，都是嚴肅不苟言笑之地嗎？佛紀念館絕不但但是情人漫步的好去處，決定白頭偕老的新人，還可以在「五和塔」的喜慶之家，舉行別具創意的佛化婚禮，或文定之喜。佛陀從不反對正常的家庭人倫，新人、家人到了佛陀紀念館，讓佛陀紀念館彷彿也升起了粉紅泡泡，也跟著浪漫起來。靠近樟樹林滴水坊的祇園，特別為新人佈置婚紗攝影景點，以象徵高貴的牡丹、代表浪漫的玫瑰、還有色彩繽紛的繡球花等花材，營造喜氣洋洋的景致。五和塔喜慶之家，每年持續為許多新人舉行佛化婚禮或文定之禮，在佛光大佛見證下，締結良緣。歡迎新人至佛館五和塔登記舉行婚禮，也可選擇到佛館拍攝婚紗，接受佛陀最神聖的祝福。,,
c59c9a19-a464-4d30-bc99-ab5b3e02d798,2710e9b8-589e-4c01-b9c9-215caef97054,zh_TW,尋寶之旅,佛陀紀念館蒐集豐富館藏，世界僅有的佛牙舍利，或是珍貴古物彩繪藻井，都讓人嘖嘖稱奇。水晶材質半圓剎座相托晶瑩剔透塔剎，光明閃耀舍利塔，塔內安奉佛牙舍利，在世界僅有三顆，其中一個就在佛陀紀念館玉佛殿內，但玉佛殿可不只如此。兩側牆面立體木雕雄偉壯觀，利用香木雕成世界各地不同形式佛塔，象徵佛陀度化眾生遍滿十方。佛陀紀念館館藏數件珍寶，無論是本館普陀洛伽山觀音殿的主尊千手千眼觀世音菩薩、還是佛館內首件古物，珍貴彩繪藻井；佛館珍藏珍寶，都讓民眾嘖嘖稱奇。,,
f159e39e-9d1d-49c0-b38e-8910a2e55326,86252480-d939-4802-ae9e-02909e5e542a,zh_TW,親子之旅,佛陀紀念館目前佔地五十公頃，遼闊的空間不僅是宗教聖地，同時也是親子踏青、體驗佛法與科技結合的好去處。「祇園」草木扶疏，生態園區有紫斑蝶、綠頭鴨……。館內南北長廊外側的護生圖，更是親子共讀生命教育的樂趣。此外，親子可以一同前往觀音殿，向觀世音菩薩祈求甘露法水，善財童子和龍女會轉動銜接觀音菩薩的祝福，為祈求者倒入大悲咒水，得者無不歡欣雀躍。,,
51445798-ebdf-41c0-be14-8d21b5a21a04,6c45c46e-9289-4a8a-9d66-0c8f461d01f8,zh_TW,藝文之旅,佛陀紀念館的建築樣式融合佛陀原鄉的窣堵坡式，融合古印度、中印度與 唐、宋、元、明、清等，歷代佛像、佛塔的建築美學而成。透由瞻禮佛陀紀念館， 可深深領會綜貫古今，橫跨中印的建築之美。每一座建築物與大自然無縫相容，隨早晚和四季變化，景色巧妙各不同。,,
80a9f065-a883-43b7-b458-1c89c8342ec6,2346c79a-36ae-4351-8339-39abbd701ad2,zh_TW,美食之旅,佛陀紀念館內，設置了許多滴水坊，及一處自助餐，每一座滴水坊也都有不同的特色，皆為提供來訪民眾休憩與滿足味蕾的場所，民眾可在餐廳裡品嘗到不同風格的美食，或喝杯咖啡吃些點心，稍坐片刻欣賞不同角度的佛館風景後，再繼續參觀。,,
4e87f323-4c96-4719-bd75-b3b577275dc0,affddccc-eb1a-4d9d-bd51-c65297b16954,zh_TW,攝手之旅,佛陀紀念館於2012年榮獲第13屆「國家建築金獎」之文化教育類金獅獎，每一處建築設計總是令人震撼驚喜，成佛大道、萬人照相台、大佛平台、崇高的佛光大佛、北長廊、祇園等，經常可見遊客拍照與好友分享，乃是打卡熱點。,,
21d29873-cce6-4ddb-95c2-711a48d3e97f,7f5d8a38-4496-4084-a33e-0c65b1ce6f1d,zh_TW,生態之旅,佛陀紀念館在建館時，保留了當地許多的原生態，加上後來的特意植栽護育，引來了紫斑蝶、綠頭鴨、大白鵝到此棲息綿延後代，在廣闊的樹林植披中，清新的芬多精洗滌了人們的心靈，感受到人與大自然本是生命共同體。穿梭在蝴蝶群中，聽著啁啾的蟲鳴鳥叫，豐富的生態、清幽的環境，讓人學習到生命與自然生態的可貴，大自然就這樣給大小朋友無聲地，上了一堂生命教育課。,,
dbe60fd4-c7de-4e65-98c6-86738f8e7828,6f7689f5-26cc-424e-bf16-a20d7063bac6,en,Religious Route,"Whether you are a Buddhist or not, you can feel the blessings of the Buddha here. The entire complex of the Buddha Museum is imbued with the essence of the Buddha's teachings, and is a subtle influence on the minds of the visitors, providing one with a rich artistic collection and intangible beauty that will bring a sense of coolness as soon as one steps inside.
The Buddha's tooth relic, the world's largest copper-cast Fo Guang Big Buddha, a replica of the underground palace at the Famen Temple in Shaanxi, the Golden Buddha gifted by Thailand's Sangharaja, the Reclining Buddha statue made from Burmese white jade, the golden kasaya from Korea, and the Thousand-Headed, Thousand-Eyed Avalokitesvara ...... are all world-class treasures that one will find in the Buddha Museum.
When one stands on the Great Path to Buddhahood, it takes one back in time and space to the Tang dynasty, with Eight Pagodas leading one to the Buddha and the Main Hall, providing one with a majestic and humbling religious experience that surpasses the ordinary museum experience.",,
c5f04f11-5d75-4925-a997-d9e5d3d49db7,b7d42a19-5781-4878-aa34-46333a3480f4,en,Romantic Route,"Is the Buddha Museum a solemnly religious place? No, instead the Buddha Museum is a good place for lovers to take a stroll. For couples who have decided to grow old together, they can have their wedding ceremony at the Five Harmonies Pagoda or have their wedding ceremony in a special way. The Buddha never objected to normal family relationships, so when the new couple and their families come to the Buddha Museum, it will seem as if pink bubbles are rising in the Buddha Museum, making it even more romantic than ever.
The Jetavana Grove, decorated with flowers such as peonies, roses, and hydrangeas symbolizing romance, is a special place for wedding photography.
The Five Harmonies Pagoda celebrates many weddings every year, and in the presence of the Buddha, many couples tied the knot. Couples are welcome to register their weddings at the Five Harmonies Pagoda, where they will receive the Buddha's blessings.",,
e6463934-393d-41cb-8cc4-27f0ec358f7a,2710e9b8-589e-4c01-b9c9-215caef97054,en,Treasure Hunt Route,"There are many treasures in the Fo Guang Shan Buddha Museum, including the Buddha's tooth relic, Great Compassion Mantra Caissons, and many more. Inside the shining crystal stupa holds one of three tooth relics remaining in the world, currently enshrined in the Jade Buddha Shrine of the Buddha Museum. The Forest of Stupas, Avalokitesvara Bodhisattva, Caissons, and ancient artifacts are all Treasures of the Buddha Museum.",,
