id,Attractions_id,title,language_code,description,video_url,audio_url
c137bc58-8bf8-4910-a307-9d6d01674377,fe3fc8e8-83cb-42b3-9242-adefa1c15138,佛光大佛,zh_TW,入館第一眼看見的就是一座巍峨的大佛，這是台灣的地標之一「佛光大佛」。佛光山佛陀紀念館的佛光大佛，是亞洲最大的銅鑄坐佛，由星雲大師發起建造，共用一千八百多公噸鋼鐵建造，費時一年半完成。地基加佛身共有一百零八公尺，相當於一般建築的三十六層樓，為亞洲著名地標之一，堪稱驚世之作。\n\n宋朝的茶陵郁和尚寫了一首開悟詩：「我有明珠一顆，久被塵勞關鎖；今朝塵盡光生，照破山河萬朵。」所謂的明珠即是每個人自身的佛性，每個人原本都是一顆閃閃明珠，但累世的習氣就如同塵埃一樣，讓明珠早已蒙塵，但經由修行將宿世累積的惡習、執著放下，明珠自然再度大放光明，人人皆可成佛。\n\n為了讓世人認識自己的如來佛性，星雲大師建造這尊佛光大佛，用建築表達了「我是佛」的理念。當全球各地的參訪者踏進佛陀紀念館，仰頭看見「佛光大佛」崇高偉大、低眉慈眼凝視眾生，星雲大師希望：「每一個人都能感受到佛陀就是自己，即使是信仰天主、基督、媽祖，也能感覺自己有著天主、基督、媽祖的崇高本質。佛館創造這樣的情境，讓人人藉著對佛的崇敬禮拜，而提昇自我、開發自我，以覺性的欣發，來面對每一天的生活。」,,
aaa58d54-5f5e-40db-be71-a9a398b5fcb4,9da51fd6-f5bf-4c2b-a8c9-ca5de5d687b7,大佛平台,zh_TW,大佛平台是連結本館與佛光樓的平台，佇立在此可近距離仰望大佛，感受大佛的攝受力，是大眾與大佛最貼近核心之處，星雲大師為了「給人歡喜、給人方便」，開放一處可容納兩千人禮佛的寬廣之地，並不定期舉辦開山、繞塔、誦經祈禱等修持活動。\n\n在大佛平台可南望靈山，北觀恆河、祇園，遠眺成佛大道，繚繞的大武山雲氣，及高屏溪的點點夕陽盡在眼前。\n\n大佛平台，四聖塔於每週六下午由法師帶領大眾繞塔，陀羅尼經經幢釋迦牟尼佛」佛號，並行繞塔。所謂眾福如見佛。在《右繞佛塔功德經》云，「一切諸天龍、夜叉鬼神等，皆親近供養。斯由右繞塔。在在所生處，遠離於八難，常生無難處。斯由右繞塔。於一切生處，念慧常無失，具足妙色相，斯由右繞塔。往來天人中，福壽悉長遠，常獲大名稱，斯由右繞塔。於陰若墮時，當生福德家，清淨種姓中，斯由右繞塔。儀貌當端正，富貴多財寶……」由此可知繞塔功德不可思議，能清淨本心，累積福數無量無邊。\n您有多久沒有幕鼓心洗了？尤且在佛陀腳下，靜心抄寫一部《心經》，或是修藝大師的《榮譽讚》，大佛平台設有一處「抄經堂」，所謂「抄寫一逼，勝過閱讀十遍」,,
7357caac-5f5e-4615-a796-5ab3d2d77b60,7d9fc9b5-adb9-4f33-9f8d-f4530cc3a45f,大佛平台抄經堂,zh_TW,「抄經」既能靜心，又能祈福，抄寫《心經》，是修心養性、深入經藏的修行法門。端坐揪心，配合呼吸，專注筆下的一筆一劃，內心清定，更能體會遠離塵囂。\n\n弘一法師曾談抄經十大利益\n一、從前所作囉囉罪過，輕者立即消滅，重者也得轉輕。\n二、常得吉神擁護，一切瘟疫、水火、盜賊、刀兵、牢獄之災，悉皆不受。\n三、夙生怨對，咸蒙法益，而得解脫，永免尋仇報復之難。\n四、夜叉惡鬼，不能侵犯；毒蛇餓虎，不能為害。\n五、心得安慰，日無險事，夜無惡夢，顏色光澤，體力充盛，所做吉利。\n六、至心奉法，雖無希求，自然衣食豐足，家庭和睦，福壽綿長。\n七、所言所行，人天歡喜。任到何方常為多眾親近敬愛，恭敬禮拜。\n八、愚痴轉智，病者轉健，困者轉亨。不願為婦女者，報盡之日，皆轉男身。\n九、永離惡道，受生善道。相貌端正，天資超越，福祿殊勝。\n十、能為一切眾生，種植善根。以眾生心，作大福田，獲無量勝果。所生之處，常得見佛聞法。直至三慧宏開，六通親證，速得成佛。\n\n抄經不只恰養佛性，更是以文字般若，契入佛心，累積功德資糧，增長智慧，培養善良根德因緣。找到心靈的依處。,,
7efe9ac9-349c-4cfb-944c-f18fdfd7ff15,63a01ed5-2b70-45c7-811f-377f6290659b,佛光樓,zh_TW,佛光樓，位於佛光大佛座下，提供佛光山功德主回來到佛陀紀念館參加年度活動時，可享賓至如歸般的優渥住宿區。佛陀紀念館每年4-12月舉辦「心的旅程」活動時，參加的學員也會很榮幸有一人套房的住宿體驗。佛光樓最重要的，是九樓國際會議廳。適合國際學術研討會或學術團體、企業主管高層會議、各種大型活動會議申請使用，會議、住宿一體，落實了佛光山開山星雲大師「四給」的精神。\n佛陀在菩提樹下，因徹悟「四聖諦」—苦、集、滅、道等真理而開悟。四聖諦是佛法的綱要，三藏十二部經典的根本。隨著佛教的發展，義理付諸行動與實踐，成為「四弘誓願」—眾生無邊誓願度，煩惱無盡誓願斷，法門無量誓願學，佛道無上誓願成。而四弘誓願的代表者，就是象徵悲、智、願、行的四大菩薩。,,
9346cac3-7a9c-4ce4-8138-10b68b5020be,d21c48f4-56ff-410c-883c-df6c332e3b69,四聖塔/觀音塔,zh_TW,在本館上方四聖塔之一的觀音塔供奉觀音菩薩，觀音菩薩因「大悲心」而遊諸世界，尋聲救苦，千處祈求千處應，實踐的是「眾生無邊誓願度」的大悲。\n文殊菩薩是中國四大菩薩道場，山西五台山是文殊菩薩道場。,,
5195e7c2-52d1-4540-a134-04be7bfd5aa1,ff2ef1e4-08c7-4b99-9042-9147b58631f0,四聖塔/文殊塔,zh_TW,在本館上方四聖塔之一的文殊塔供奉文殊菩薩，文殊菩薩因有「大智慧」能讓人從迷取覺、從非而是，是「法門無量誓願學」的深刻表達。,,
7bd28dea-54d9-4ef3-971c-6f8c4ce4f0f1,2e4607c5-3260-4d17-8de0-973fefe112d5,四聖塔/地藏塔,zh_TW,四聖塔之一的地藏塔供奉地藏菩薩，地藏菩薩因有「大願力」而發心到地獄度眾生，救度眾生貪瞋癡煩惱業集的痛苦，猶如出地獄的刀山劍樹，是「煩惱無邊誓願斷」的功德。,,
9792585a-27b4-4dbc-965a-5b856e88a3b6,c9d003bd-b0ac-4ae5-8e73-422f0bee5d52,四聖塔/普賢塔,zh_TW,四聖塔之一的普賢塔供奉普賢菩薩，普賢菩薩因「大行力」而導萬行歸極樂，讓所有苦難的眾生都能得救，展現的是「佛道無上誓願成」的悲心。\n佛光一滴,,
42d8d920-09ef-4ebc-a934-314afcebf4d6,c6b30fa4-6eaa-4cf7-a46c-4a7b281b4a66,佛光一滴,zh_TW,全台唯一在大佛底下的餐廳「佛光一滴」，其麵、飯，乃至小菜、小披薩、漢堡、潛艇堡及鬆餅等都出自法師與義工服務大眾的歡喜心。中式小菜如家醬苦瓜、桂花蜜藕、豆腐沙拉、香辣蹄筋、五味茄子、紫米糕，素食壽司都是明星商品。\n服務電話 07-656-3033分機4300\n供餐時間：\n平日 11:00-17:00 (最後受理點餐為16:30)\n假日 11:00-17:00 (最後受理點餐為16:30),,
102ad0cd-1821-4abe-8916-9afb2b1d50b9,fb008019-8b56-4740-b61c-39908e456e3f,觀音殿,zh_TW,「普陀洛伽山觀音殿」上方殿名，由星雲大師命名。殿內主尊千手千眼觀音為藝術家楊惠姍女士所創作。藝術風格取自現代 (1271～1368) 嚴官格調為基本塑造，法相莊嚴，用色古雅；脇侍善財、龍女、活潑生動。具明代 (1368～1644) 造像特色。四周壁面玻璃與環繞三十三觀音相，則為佛光緣美術館館長如常法師所作。前後遠近、變換相續，示現重重無盡的華嚴世界。\n\n星雲大師說：「我這根釋（華嚴經）中『須彌藏芥子，芥子納須彌』的理念而成，這室中的千手千眼觀音，是佛陀紀念館弘法的代表，一進門就可以看到，因為觀音菩薩象徵慈悲，代表佛陀精神普及於一切。」\n\n殿內地面以黑五儲石取代傳統地磚。香榭暖金以中軸線做成階梯式的開發，在多重光影中祈福祝禱，深受感動。參觀大眾在法師及義工導引下，前來許願池祈福，即有恭財富！及龍女出生竹鹽水，代表觀音菩薩。千處祈求千處應。祈禱大覺團、擴大悲願的心靜意成，殿外秩序井然有序（觀世音菩薩普門品）經文，雕刻牆面。彷佛莊嚴體現。,,
